name,symbol,cg_id
Bitcoin,BTC,bitcoin
Ethereum,ETH,ethereum
Tether,USDT,tether
XRP,XRP,ripple
BNB,BNB,binancecoin
Solana,SOL,solana
USDC,USDC,usd-coin
Dogecoin,DOGE,dogecoin
TRON,TRX,tron
Lido Staked Ether,STETH,staked-ether
Cardano,ADA,cardano
Hyperliquid,HYPE,hyperliquid
Wrapped Bitcoin,WBTC,wrapped-bitcoin
Wrapped stETH,WSTETH,wrapped-steth
Sui,SUI,sui
Chainlink,LINK,chainlink
Avalanche,AVAX,avalanche-2
Stellar,XLM,stellar
Bitcoin Cash,BCH,bitcoin-cash
LEO Token,LEO,leo-token
Toncoin,TON,the-open-network
Shiba Inu,SHIB,shiba-inu
Wrapped eETH,WEETH,wrapped-eeth
USDS,USDS,usds
Hedera,HBAR,hedera-hashgraph
WETH,WETH,weth
Litecoin,LTC,litecoin
Polkadot,DOT,polkadot
Monero,XMR,monero
Binance Bridged USDT (BNB Smart Chain),BSC-USD,binance-bridged-usdt-bnb-smart-chain
Ethena USDe,USDE,ethena-usde
Bitget Token,BGB,bitget-token
Pepe,PEPE,pepe
Coinbase Wrapped BTC,CBBTC,coinbase-wrapped-btc
Uniswap,UNI,uniswap
Pi Network,PI,pi-network
WhiteBIT Coin,WBT,whitebit
Aave,AAVE,aave
Dai,DAI,dai
Ethena Staked USDe,SUSDE,ethena-staked-usde
Bittensor,TAO,bittensor
OKB,OKB,okb
Internet Computer,ICP,internet-computer
Aptos,APT,aptos
NEAR Protocol,NEAR,near
Cronos,CRO,crypto-com-chain
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,blackrock-usd-institutional-digital-liquidity-fund
Jito Staked SOL,JITOSOL,jito-staked-sol
Ethereum Classic,ETC,ethereum-classic
Ondo,ONDO,ondo-finance
sUSDS,SUSDS,susds
Tokenize Xchange,TKX,tokenize-xchange
Kaspa,KAS,kaspa
Mantle,MNT,mantle
Gate,GT,gatechain-token
USD1,USD1,usd1-wlfi
VeChain,VET,vechain
Official Trump,TRUMP,official-trump
Ethena,ENA,ethena
Cosmos Hub,ATOM,cosmos
POL (ex-MATIC),POL,polygon-ecosystem-token
Render,RENDER,render-token
Artificial Superintelligence Alliance,FET,fetch-ai
Lombard Staked BTC,LBTC,lombard-staked-btc
Fasttoken,FTN,fasttoken
Arbitrum,ARB,arbitrum
Sky,SKY,sky
Filecoin,FIL,filecoin
Worldcoin,WLD,worldcoin-wld
Quant,QNT,quant-network
Binance-Peg WETH,WETH,binance-peg-weth
Algorand,ALGO,algorand
SPX6900,SPX,spx6900
Jupiter Perpetuals Liquidity Provider Token,JLP,jupiter-perpetuals-liquidity-provider-token
First Digital USD,FDUSD,first-digital-usd
USDT0,USDT0,usdt0
USDtb,USDTB,usdtb
KuCoin,KCS,kucoin-shares
Binance Staked SOL,BNSOL,binance-staked-sol
Celestia,TIA,celestia
Jupiter,JUP,jupiter-exchange-solana
Virtuals Protocol,VIRTUAL,virtual-protocol
Fartcoin,FARTCOIN,fartcoin
Rocket Pool ETH,RETH,rocket-pool-eth
Kelp DAO Restaked ETH,RSETH,kelp-dao-restaked-eth
Bonk,BONK,bonk
Injective,INJ,injective-protocol
Flare,FLR,flare-networks
NEXO,NEXO,nexo
Sonic,S,sonic-3
Optimism,OP,optimism
Story,IP,story-2
XDC Network,XDC,xdce-crowd-sale
Stacks,STX,blockstack
Sei,SEI,sei-network
Mantle Staked Ether,METH,mantle-staked-ether
Kaia,KAIA,kaia
Binance Bridged USDC (BNB Smart Chain),USDC,binance-bridged-usdc-bnb-smart-chain
Polygon Bridged USDT (Polygon),USDT,polygon-bridged-usdt-polygon
StakeWise Staked ETH,OSETH,stakewise-v3-oseth
Solv Protocol BTC,SOLVBTC,solv-btc
PayPal USD,PYUSD,paypal-usd
Vaulta,A,vaulta
dogwifhat,WIF,dogwifcoin
Immutable,IMX,immutable-x
Renzo Restaked ETH,EZETH,renzo-restaked-eth
The Graph,GRT,the-graph
Wrapped BNB,WBNB,wbnb
Arbitrum Bridged WBTC (Arbitrum One),WBTC,arbitrum-bridged-wbtc-arbitrum-one
Curve DAO,CRV,curve-dao-token
FLOKI,FLOKI,floki
Lido DAO,LDO,lido-dao
clBTC,CLBTC,clbtc
Tether Gold,XAUT,tether-gold
PAX Gold,PAXG,pax-gold
Jupiter Staked SOL,JUPSOL,jupiter-staked-sol
PancakeSwap,CAKE,pancakeswap-token
Zcash,ZEC,zcash
Theta Network,THETA,theta-token
Marinade Staked SOL,MSOL,msol
GALA,GALA,gala
Ethereum Name Service,ENS,ethereum-name-service
IOTA,IOTA,iota
SyrupUSDC,SYRUPUSDC,syrupusdc
Jito,JTO,jito-governance-token
Walrus,WAL,walrus-2
Pudgy Penguins,PENGU,pudgy-penguins
OUSG,OUSG,ousg
The Sandbox,SAND,the-sandbox
JasmyCoin,JASMY,jasmycoin
Pyth Network,PYTH,pyth-network
BitTorrent,BTT,bittorrent
Stables Labs USDX,USDX,usdx-money-usdx
Raydium,RAY,raydium
Bitcoin SV,BSV,bitcoin-cash-sv
Pendle,PENDLE,pendle
Tezos,XTZ,tezos
Core,CORE,coredaoorg
Usual USD,USD0,usual-usd
Polyhedra Network,ZKJ,polyhedra-network
Wrapped HYPE,WHYPE,wrapped-hype
Super OETH,SUPEROETH,super-oeth
Saros,SAROS,saros-finance
Solv Protocol Staked BTC,XSOLVBTC,solv-protocol-solvbtc-bbn
Flow,FLOW,flow
Ondo US Dollar Yield,USDY,ondo-us-dollar-yield
THORChain,RUNE,thorchain
ApeCoin,APE,apecoin
L2 Standard Bridged WETH (Base),WETH,l2-standard-bridged-weth-base
cgETH Hashkey Cloud,CGETH.HASHKEY,cgeth-hashkey-cloud
Falcon USD,USDF,falcon-finance
Mantle Restaked ETH,CMETH,mantle-restaked-eth
Maple Finance,SYRUP,syrup
Liquid Staked ETH,LSETH,liquid-staked-ethereum
Decentraland,MANA,decentraland
Brett,BRETT,based-brett
Avalanche Bridged BTC (Avalanche),BTC.B,bitcoin-avalanche-bridged-btc-b
Helium,HNT,helium
Arbitrum Bridged WETH (Arbitrum One),WETH,arbitrum-bridged-weth-arbitrum-one
DeXe,DEXE,dexe
Compound,COMP,compound-governance-token
tBTC,TBTC,tbtc
Keeta,KTA,keeta
Onyxcoin,XCN,chain-2
TrueUSD,TUSD,true-usd
Grass,GRASS,grass
Ket,KET,ket
Binance-Peg Dogecoin,DOGE,binance-peg-dogecoin
Aethir,ATH,aethir
Axelar,AXL,axelar
Eigenlayer,EIGEN,eigenlayer
AIOZ Network,AIOZ,aioz-network
Aerodrome Finance,AERO,aerodrome-finance
Staked HYPE,STHYPE,staked-hype
Kava,KAVA,kava
Starknet,STRK,starknet
EOS,EOS,eos
Beldex,BDX,beldex
Arweave,AR,arweave
dYdX,DYDX,dydx-chain
Morpho,MORPHO,morpho
eCash,XEC,ecash
Bridged USDC (Polygon PoS Bridge),USDC.E,bridged-usdc-polygon-pos-bridge
NEO,NEO,neo
pumpBTC,PUMPBTC,pumpbtc
USDD,USDD,usdd
MultiversX,EGLD,elrond-erd-2
Mog Coin,MOG,mog-coin
Stader ETHx,ETHX,stader-ethx
MimbleWimbleCoin,MWC,mimblewimblecoin
Ripple USD,RLUSD,ripple-usd
Conflux,CFX,conflux-token
